SI,Title,Type,Authors,ISBN,Publication Year,Publisher,Category,Call No,Location,Subject,Series,Edition,Year,Description,Tags,Num Pages,Place
HC7XU7E3,Connecticut masters: the fine arts and antiques collections of the Hartford Steam Boiler Inspection and Insurance Company,Books,0,,1991,The Company,,AMERICAN,"Hartford, Conn","Painting; Painting, American; Catalogs; Art collections Catalogs; Private collections Catalogs; Connecticut; Connecticut Hartford; Furniture; Hartford Steam Boiler Inspection and Insurance Company",,,1991,,,271,
S7WFAZ8F,Close Observation: Selected Oil Sketches by Frederic E. Church,Books,"Theodore E. Stevbins, Jr",,1978,Smithsonian Institution Press,,Artist C,,,,,1978,,,,
J5YKWGWQ,Arthur Dove & Helen Torr: The Huntington Years,Books,Anne Cohen Depietro,,1989,The Heckscher Museum,,AMERICAN,,,,,1989,,,,
SAH79JF7,Masterpieces of American Modernism: Selections from the Harvey and Francoise Rambach Collection,Books,Timothy A. Eaton and Barbara Rose,,1995,Boca Raton Museum of Art,,AMERICAN,,,,,1995,,,,
LRCE968Q,"The Lure of Italy: American Artists and the Italian Experience, 1760-1914",Books,"Theodore E. Stebbins, Jr",,1992,"Museum of Fine Arts, Boston",,AMERICAN,,,,,1992,,,,
EXFJ6PUJ,Domestic Bliss: Family Life in American Painting 1840-1910,Books,Lee M. Edwards,,1986,Hudson River Museum,,AMERICAN,,,,,1986,,,,
HXU845VV,Two Centuries of Black American Art,Books,David C. Driskell,,1976,Los Angeles County Museum of Art/Alred A. Knopf,,AMERICAN,,,,,1976,,,,
YGHXT2BF,American art in the Barbizon mood,Books,"Bermingham, Peter; National Collection of Fine Arts (U.S.)",,1975,Published for the National Collection of Fine Arts by the Smithsonian Institution Press,,AMERICAN,Washington,"Exhibitions; Landscape painting, American; Barbizon school; Influence",,,1975,,,191,
CDMCDW3F,"3 self-taught Pennsylvania artists: Hicks, Kane [and] Pippin: Exhibition at the Museum of Art, Carnegie Institute, Pittsburgh, Oct. 21-Dec. 4, 1966, and the Corcoran Gallery of Art, Washington, Jan. 6-Feb. 10, 1967",Books,0,,1966,Printed by Carnegie Institute Press,,AMERICAN,Pittsburgh,"Hicks, Edward; Kane, John; Pippin, Horace",,,1966,,,1,
QRT68CBN,American Classics of the Nineteenth Century,Books,0,,1957,"Carnegie Institute, Pittsburgh",,AMERICAN,,"Exhibition catalog, includes CMOA works by Blakelock, Blythe, Cassatt, Chase, Eakins, Hassam, Homer, Inness, Sargent, Twachtman, Whistler",,,1957,,,,
JZEZGSL8,America as art,Books,"Taylor, Joshua Charles; National Collection of Fine Arts (U.S.)",,1976,"Published for the National Collection of Fine Arts by the Smithsonian Institution Press : for sale by the Supt. of Docs., U.S. Govt. Print. Off",,AMERICAN,Washington,"In art; United States; Art, American",,,1976,,,320,
KM724JUF,"Realism and realities: the other side of American painting, 1940-1960",Books,0,,1981,The Gallery,,AMERICAN,"New Brunswick, N.J.","Exhibitions; 20th century; Painting, American; Themes, motives; Realism in art",,,1981,,,195,
MCGJVQ3Y,"American Abstract Artists: The Early Years, Part 1",Books,"Rose, Barbara",,1980,,,AMERICAN,,"includes works by Albers, Bengelsdorf, Bolotowsky, Browne, Cavallon, Carles, Diller, Drewes, Ferren, Frelinghuysen, Gallatin, Glarner, Greene, Harari, Holty, Kelpe, Lassaw, Trumbull-Mason, Moholy-Nagy, Morris, McNeil, Opper, Reinhardt, Rice-Pereira, Schanker, Shaw, Slobodkina, Swinden, Vytlacil, Zogbaum",,,1980,,,,
KVG5RTEB,Frederic Edwin Church--the Icebergs,Books,"Carr, Gerald L.; Church, Frederic Edwin; Dallas Museum of Fine Arts",,1980,Dallas Museum of Fine Arts,,ARTIST - C,Dallas,"Church, Frederic Edwin; Icebergs; Icebergs in art",,,1980,,,109,
X7R3XDQT,Folk art of rural Pennsylvania,Books,"Lichten, Frances; Rouben Mamoulian Collection (Library of Congress)",,1946,"C. Scribner's Sons; C. Scribner's Sons, ltd",,AMERICAN,"New York, London",Pennsylvania; Folk art; Decorative arts,,,1946,,,1,
WUCIEKKJ,American painting: from its beginnings to the Armory Show,Books,"Prown, Jules David",,1969,"Skira [distributed in the U.S. by World Pub. Co., Cleveland",,AMERICAN,Geneva,"Painters; Painting, American; United States","Painting, color, history",,1969,,,144,
PH96BF9P,"Currier & Ives, printmakers to the American people",Books,"Peters, Harry Twyford; Rouben Mamoulian Collection (Library of Congress)",,1942,"Doubleday, Doran & co., inc",,ARTIST - C,"Garden City, N.Y","19th century; Lithography, American; Currier and Ives",,,1942,,,2,
U6LQXRMZ,Survey of American painting,Books,0,,1940,"Deptarment of fine arts, Carnegie institute",,AMERICAN,Pittsburgh,"Exhibitions; Painting, American",,,1940,,,307,
69S2S2RS,American Beauty: Paintings from the Detroit Institute of Arts 1770-1920,Books,"Beal, Graham W. J.",,2002,"Scala Publishers, Ltd",,AMERICAN,,,,,2002,,,,
FVQKZMV4,101 masterpieces of American primitive painting: from the collection of Edgar William & Bernice Chrysler Garbisch,Books,"Garbisch, Edgar William; Garbisch, Bernice Chrysler",,1962,American Federation of Arts; distributed by Doubleday,,AMERICAN,New York,"Exhibitions; Painting; Painting, American; Private collections; Primitivism in art",,New ed,1962,,,159,
ZM6MZWA7,High Society: American Portraits of the Gilded Age,Books,"Gallati, Barbara Dayer et al",,2008,Hirmer Verlag,,AMERICAN,,,,,2008,,,,
ZZ8BS8AV,From reliable sources--the Archives of American Art,Books,Copyright Collection (Library of Congress),,198,Smithsonian Institution,,AMERICAN,,,,,198,,,,
266NTTR9,Art in nineteenth-century Pittsburgh: an exhibition,Books,0,,1977,McCullough Communications,,AMERICAN,[Pittsburgh,"19th century; Exhibitions; Pennsylvania Pittsburgh; Art, American",,,1977,,,47,
VGJXZJL4,Munich & American realism in the 19th century,Books,"West, Richard V.; Quick, Michael; Ruhmer, Eberhard; Cincinnati Art Museum; E.B. Crocker Art Gallery;",,1978,E. B. Crocker Art Gallery,,AMERICAN,"Sacramento, Calif","19th century; Exhibitions; Painting, American; Realism in art; German influences; Germany Munich; Leibl-Kreis",,,1978,,,127,
4RDP3BMV,"American painting of the nineteenth century: realism, idealism, and the American experience",Books,"Novak, Barbara",,1979,Harper & Row,,AMERICAN,New York,"19th century; Painting, American",Icon editions,2d ed,1979,,,350,
WJ3YPLB8,American painting: the 20th century,Books,"Rose, Barbara",,1969,SKIRA,,AM,Lausanne,"20th century; Painting, American","Painting, color, history",,1969,,,125,
EQC3H3HA,American history in art,Books,"Coen, Rena Neumann",,1966,Lerner Publications Co,,AMERICAN,Minneapolis,"United States; Art, American; History Pictorial works",Fine art books for young people,,1966,,,71,
9IW7RKYK,The Living Tradition of Yup'ik Masks: Agayuliyararput Our Way of Making Prayer,Books,"Fienup-Riordan, Ann",,1996,University of Washington Press,,AMERICAN,,,,,1996,,,,
SUE5DY78,Early Renaissance: Narrative Painting in Italy,Books,"Christiansen, Keith",,1983,Metropolitan Museum of Art,,RENAISSANCE - PERIODICALS,,,,,1983,,,,
MYN8Y62E,The French Renaissance,Books,"Boyd, Catherine E.",,1940,"Museum of Fine Arts, Boston",,RENAISSANCE - PERIODICALS,,,,,1940,,,,
X5JLJZH8,"Correlations Between German and Non-German Art in the Nineteenth Century: Volume 33, Number 3",Books,0,,1972,Yale University Art Gallery,,EUROPEAN - PERIODICALS,,,,,1972,,,,
IHHPBLFE,"Secular Painting in 15th=Century Tuscany: Birth Trays, Cassone Panels, and Portraits",Books,"Pope-Hennessy, John and Christiansen",,1980,Metropolitan Museum of Art,,RENAISSANCE - PERIODICALS,,,,,1980,,,,
RU9YLQEC,The Building of the Vatican: The Papacy and Architecture,Books,"Boorsch, Suzanne",,1982,Metropolitan Museum of Art,,RENAISSANCE - BAROQUE - PERIODICALS,,,,,1982,,,,
QPCM8MWT,19th Century European Paintings: Philadelphia Collection XII,Books,0,,1981,Frank S. Schwarz & Son,,EUROPEAN - PERIODICALS,,,,,1981,,,,
R38A6HDN,Lyonel Feininger Marsden Hartley,Books,"Miller, Dorothy C. et al",,1944,Museum of Modern Art,,ARTIST - F,,,,,1944,,,,
MJMWDP83,Glass Art,Books,"Layton, Peter",,1996,A & C Black,,Glass,,,,,1996,,,,
SX43M873,"Glassnost: Eight Artists, Regina Gouger Miller Gallery",Books,0,,2007,Carneige Mellon University,,Glass,,,,,2007,,,,
ISTFJB9F,Venice Master artisans,Books,"Gregorin, Cristina",,,Vianello Libri,,Glass,,,,,,,,,
HQ4SUSBR,"Murano, The Glass-Making Island",Books,"Mentasti, Rosa Barovier",,2006,Edizioni Grafichi Vianello sri,,NONFICT,,,,,2006,,,,
MF5DFHA2,American glass now,Books,0,,1972,Museum of Art,,Glass,[Toledo,Exhibitions; United States; Glassware,,,1972,,,64,
Q5AVXV6F,"Ancient Glass: in the Carnegie Museum of Natural History, Pittsburgh",Books,"Oliver, Andrew Jr",,1980,Carnegie Institute,,Glass,,,,,1980,,,,
AYXLVE38,"Beyond Venice: Glass in Venetian Style, 1500-1750",Books,0,,2004,The Corning Museum of Glass,,Glass,,,,,2004,,,,
DLBZYCR3,Glass,Books,"Gardner, Paul Vickers",,1979,Cooper Hewitt Museum,,Glass,,,,,1979,,,,
Y2NP3VPP,The Forerunners of American Glass,Books,"Northend, Mary Harrod",,1926,"Dodd, Meade & Company",,Glass,,,,,1926,,,,
L9GHGXZM,Sculptures by Monica Guggisberg and Philip Baldwin,Books,0,,2002,Forlaget Glasmuseet Ebeltoft,,Artist - B,,,,,2002,,,,
9IDHJ4KP,Romantic Painting in America,Books,"Soby, James Thrall and Miller",,1943,Museum of Modern Art,,AMERICAN,,,,,1943,,,,
ZW9PBE5F,"Paul Klee: Paintings, Drawings and Prints",Books,0,,1949,Museum of Modern Art,,ARTIST - K,,,,,1949,,,,
35B9T2FB,Ellsworth Kelly,Books,0,,1981,Castelli/BlumHelman,,ARTIST - K,New York,,,,1981,,,,
LAHMH2S6,Abstract Expressionism: The Critical Developments,Books,"Auping, Michael et al",,1987,"Harry N. Abrams, Inc",,MODERN,,,,,1987,,,,
NKV4MRD6,Modern Art From Post-Impressionism to the Present: Painting Sculpture Architecture,Books,"Hunter, Sam and Jacobus",,1976,"Harry N. Abrams, Inc",,MODERN,,,,,1976,,,,
YVHFWQNY,Painting in the twentieth century,Books,"Haftmann, Werner",,1965,Praeger,,MODERN,New York,"20th century; Painters; Painting, Modern",,Newly designed and expanded ed.,1965,,,2,
B8YIALSN,Larousse encyclopedia of modern art,Books,"Huyghe, René",,1965,P. Hamlyn,,MODERN,London,"History; 20th century; Art, Modern; Art",,,1965,,,444,
S9FM9STH,"Real, really real, super real: directions in contemporary American realism",Books,0,,1981,The Association,,MODERN,"San Antonio, Tex. (3801 Broadway, San Antonio)","Exhibitions; 20th century; United States; Art, American; Realism in art; Photo-realism",,,1981,,,200,
84C77R7U,The triumph of American painting: a history of abstract expressionism,Books,"Sandler, Irving",,1970,Praeger Publishers,,MODERN,New York,United States; Abstract expressionism,,,1970,,,301,
5D8Y4AJT,The William S. Paley collection,Books,0,,1992,Museum of Modern Art : Distributed by Harry N. Abrams,,MODERN,New York,"19th century; Exhibitions; 20th century; Art, Modern; Art; Art collections; New York (State) New York; Private collections Exhibitions; Museum of Modern Art (New York, N.Y.); Paley, William S",,,1992,,,180,
PRQ8USPF,Twentieth-century art from the Nelson Aldrich Rockefeller Collection,Books,0,,1969,"Museum of Modern Art; distributed by New York Graphic Society, Greenwich, Conn",,MODERN,New York,"Exhibitions; 20th century; Art, Modern; Art collections; Nelson Aldrich; Rockefeller, Nelson A",,,1969,,,139,
ELYUZBZL,John White Alexander (1856-1915): In Search of the Decorative (Volumes I and II),Books,"Moore, Sarah J.",,1992,UMI Dissertation Services,,ARTIST - A,,,,,1992,,,,
DA46ZUEA,Modern British Art,Books,Offer Waterman & Co,,,Offer Waterman & Co,,MODERN,,,,,,,,,
3B4YUFVB,"Romantic modernism, 100 years",Books,"Ballatore, Sandy; Rosenblum, Robert; Museum of Fine Arts (Museum of New Mexico)",,1994,"Museum of Fine Arts, Museum of New Mexico",,MODERN,Santa Fe,"Exhibitions; 20th century; Art, Modern; Modernism (Art); Romanticism in art",,,1994,,,60,
LXTK7FXE,The German expressionists: a generation in revolt,Books,"Myers, Bernard S.; Bollingen Foundation Collection (Library of Congress)",,1957,Praeger,,MODERN,New York,"Painters; Germany; Expressionism (Art); Painting, German",,,1957,,,401,
VBXPX3RQ,Postmodern Currents: Art and Artists in the Age of Electronic Media,Books,"Lovejoy, Margot",,1981,UMI Research Press,,MODERN,,,,,1981,,,,
D5YF3U5V,What is modern sculpture?,Books,"Goldwater, Robert John",,1969,"Museum of Modern Art; distributed by New York Graphic Society, Greenwich, Conn",,MODERN,New York,"20th century; Sculpture, Modern",,,1969,,,146,
IRUB2QUM,Late modern: the visual arts since 1945,Books,"Lucie-Smith, Edward",,1969,Praeger,,MODERN,New York,"20th century; Art, Modern",Praeger world of art series,,1969,,,288,
JH5SG5D5,Masters in modern art,Books,"Lane, James W.",,1966,Books for Libraries Press,,MODERN,"Freeport, N.Y","19th century; 20th century; Painters; Painting, Modern",Essay index reprint series,,1966,,,118,
7UIQ7SZ6,Theories of modern art: a source book by artists and critics,Books,"Chipp, Herschel Browning; Selz, Peter; Taylor, Joshua Charles",,1968,University of California Press,,MODERN,Berkeley,"History; 19th century; 20th century; Art, Modern",California studies in the history of art,,1968,,,664,
CPMXVGRQ,"Modern art USA: men, rebellion, conquest, 1900-1956",Books,"Blesh, Rudi",,1956,Knopf,,MODERN,New York,"History; 20th century; United States; Art, Modern; Art",,1st ed.,1956,,,295,
AULQPNRN,A concise history of modern painting,Books,"Read, Herbert",,1959,Praeger,,MODERN,New York,"20th century; Painting, Modern",Books that matter,,1959,,,376,
78VFLPTP,New images of man,Books,"Selz, Peter; Museum of Modern Art (New York, N.Y.)",,1969,Published for the Museum of Modern Art by Arno Press,,MODERN,[New York,"20th century; Art, Modern; Men in art",,,1969,,,159,
UF8JQLL2,"Modern masters, Manet to Matisse",Books,0,,1975,MOMA,,MODERN,New York,"19th century; Exhibitions; 20th century; Painting, Modern",,,1975,,,271,
RFM4ACCM,"The new American painting: as shown in eight European countries, 1958-1959",Books,0,,1959,"Museum of Modern Art; distributed by Doubleday, Garden City, N.Y",,MODERN,New York,"Exhibitions; Painters; Painting, American; United States",,,1959,,,96,
BPCHLF26,Foundations of modern art,Books,"Ozenfant, Amédée; Rodker, John",,1931,"Brewer, Warren and Putnam, inc",,MODERN,New York,"History; Impressionism (Art); 20th century; Art, Modern; Art; 1910-",,,1931,,,323,
TAU4W38H,Zero to Infinity: Arte Povera: 1962-1972,Books,"Flood, Richard and Morris",,,Walker Art Center,,MODERN,,,,,,,,,
DJLPWA68,Turning points in twentieth-century art: 1890-1917,Books,"Hofmann, Werner",,1969,G. Braziller,,MODERN,New York,"20th century; Art, Modern; Art; Philosophy",,,1969,,,286,
NCWW7Y49,New York painting and sculpture: 1940-1970,Books,"Geldzahler, Henry; Metropolitan Museum of Art (New York, N.Y.)",,1969,Dutton,,MODERN,New York,"Exhibitions; 20th century; New York (State) New York; Art, American",,1st ed.,1969,,,494,
6GJKC4IL,Art In America: Special Issue: Realism,Books,"Nochlin et., al",,1981,Art In America,,MODERN,,,,,1981,,,,
3ARHA9D6,The Morton D. May Collection of 20th Century German Masters,Books,0,,1970,"Marlborough-Gerson Gallery, Inc",,MODERN,,,,,1970,,,,
Y9Z4JS2L,American art at mid-century: the subjects of the artist,Books,"Carmean, E. A.; Hess, Thomas B.; Rathbone, Eliza E.; National Gallery of Art (U.S.)",,1978,National Gallery of Art,,MODERN,Washington,"Exhibitions; 20th century; United States; Abstract expressionism; Art, American; Serial art",,,1978,,,269,
DK52YBFM,Art on the Edge and Over,Books,"Weintraub, Linda",,1986,Art Insights Inc,,MODERN,,,,,1986,,,,
G8IA3ES9,German Art of the Twentieth Century,Books,"Hoftmann, Werner",,1957,Museum of Modern Art,,MODERN,,,,,1957,,,,
KW2ZH8GH,"Word as image: American art, 1960-1990",Books,0,,1990,Milwaukee Art Museum,,MODERN,"Milwaukee, Wis","Exhibitions; 20th century; United States; Conceptual art; Art, American; Christopher Wool; Lettering in art; Words in art",,,1990,,,171,
EJ2L7VXQ,"Word as image: American art, 1960-1990",Books,0,,1990,Milwaukee Art Museum,,N8219.L43 W67 1990,"Milwaukee, Wis","Exhibitions; 20th century; United States; Conceptual art; Art, American; Lettering in art; Words in art",,,1990,,,171,
WRC6FCXV,,Books,0,,,,,MODERN,,,,,,,,,
5AUDD7CH,,Books,0,,,,,RENAISSANCE - BAROQUE,,,,,,,,,
NVW8VWF5,The School of Paris: Paintings from the Florene May Schoenborn and Samuel A. Marx Collection,Books,"Barr, Alfred A.",,1965,Museum of Modern Art,,MODERN,,,,,1965,,,,
MVG86AXN,The responsive eye,Books,0,,1965,,,MODERN,New York,"Exhibitions; 20th century; Painting; Painting, Modern",,,1965,,,51,
RVDT2YWV,Modern German Drawings 1875-1950,Books,"Butts, Barbara",,1994,St Louis Art Museum,,MODERN,,,,,1994,,,,
4BHWFNNT,Techniques of Modern Art,Books,"Collins, Judith",,1983,Chartwell Books,,MODERN,,,,,1983,,,,
HLM2GNFK,les fauves,Books,0,,1953,Museum of Modern Art,,MODERN,,,,,1953,,,,
RWNNEKH5,The New Decade: 22 European Painters and Sculptors,Books,"Ritchie, Andrew Carnduff",,1955,Museum of Modern Art,,MODERN,,,,,1955,,,,
P2KZP5FU,An American Renaissance: Painting and Scupture since 1940,Books,"Hunter, Sam",,1986,"Museum of Art, Fort Lauderdale",,MODERN,,,,,1986,,,,
2GYXPIQH,1913 Amory Show: 50th Anniversary Exhibition,Books,0,,1963,Henry Street Settlement Art Center,,MODERN,,,,,1963,,,,
T5P5KRDU,"Dada, Surrealism, and their heritage",Books,"Rubin, William; Art Institute of Chicago; Los Angeles County Museum; Museum of Modern Art (New York,",,1968,"Museum of Modern Art; distributed by New York Graphic Society, Greenwich, Conn",,MODERN,New York,"Exhibitions; 20th century; Art, Modern; Surrealism; Dadaism",,,1968,,,251,
CHVPZLS8,Futurism,Books,"Taylor, Joshua C.",,1961,Museum of Modern Art,,MODERN,,,,,1961,,,,
4X26PV7I,The stamp of impulse: abstract expressionist prints,Books,"Acton, David; Amram, David; Lehman, David",,2001,"Worcester Art Museum, in association with Snoeck-Ducaju & Zoon",,MODERN,"Worcester, MA","Exhibitions; 20th century; United States; Abstract expressionism; Prints, American; Prints, Abstract",,1st ed,2001,,,295,
4PB5JUSY,"Contemporary art, 1942-72: collection of the Albright-Knox Art Gallery",Books,0,,1973,Praeger,,MODERN,New York,"20th century; Art, Modern; Art; Catalogs; New York (State) Buffalo",,,1973,,,479,
RANQPPHW,Three American Modernist Painters: Weber Sterne Davis,Books,"Barr, Alfred H.",,1969,Museum of Modern Art,,ARTIST - W,,"Davis, Stuart; Sterne, Maurice; Weber, Max",,,1969,,,,
INLP24Z7,Sculpture of the twentieth century,Books,"Ritchie, Andrew Carnduff; Museum of Modern Art (New York, N.Y.)",,1952,Museum of Modern Art,,MODERN,New York,Sculpture,,,1952,,,238,
MK6VV6PH,Painting and sculpture in the Museum of Modern Art,Books,0,,1948,"Museum of Modern Art, distributed by Simon and Schuster",,MODERN,New York,Painting; Catalogs; New York (State) New York; Sculpture,,,1948,,,327,
CDBE3IK5,American sculpture of the sixties,Books,"Tuchman, Maurice; Los Angeles County Museum of Art; Philadelphia Museum of Art",,1967,,,MODERN,[Los Angeles,"Exhibitions; Sculpture, American",,,1967,,,258,
Z6Y7YMI2,Art Nouveau: Art and Design at the Turn of the Century,Books,"Selz, Peter and Constantine",,1959,Museum of Modern Art,,EUROPEAN,,,,,1959,,,,
VJWR5FZ8,XIX & XX Century Master Paintings: An Exhibition,Books,0,,1982,Acquavella Galleries Inc,,EUROPEAN,,,,,1982,,,,
3WAQXV7A,Paintings from the Von Schleinitz Collection: German genre paintings of the 19th century,Books,0,,1969,,,EUROPEAN,Milwaukee,"Exhibitions; Art collections; Genre painting, German; Von Schleinitz, René",,,1969,,,1,
V4B3G369,"Modern Painters: Goya, Constable, David, Ingres, Delacroix, Corot, Daumier, Courbet",Books,"Venturi, Lionello",,1947,Charles Scribner's Sons,,EUROPEAN,,,,,1947,,,,
AG7NZND2,Chefs-d'Oeuvre de Musees des Etats-Unis: de Giorgione a Picasso,Books,"Daulte, Francois et al",,1976,Musee Marmottan,,EUROPEAN,,,,,1976,,,,
9JPWCAE6,Ottocento: Romanticism and Revolution in 19th-Century Italian Painting,Books,"Olson, Roberta J. M.",,1993,Centro Di The American Federation of Arts,,EUROPEAN,,,,,1993,,,,
JNJRVNAC,"Masters of British painting, 1800-1950",Books,0,,1980,Arno Press,,EUROPEAN - BRITISH ISLES,New York,"19th century; Exhibitions; 20th century; Painting, British",The Museum of Modern Art publications in reprint,,1980,,,160,
2TTDFK3Y,"Russell Smith, romantic realist",Books,"Lewis, Virginia Elnora",,1957,University of Pittsburgh Press,,ARTIST - S,Pittsburgh,"Smith, Russell",,,1957,,,348,
28T4P6MN,The National Gallery of Scotland Edinburgh,Books,"Baxandall, David",,1968,Knorr & Hirth Verlag GMBH,,EUROPEAN - BRITISH ISLES,,,,,1968,,,,
F5H6ZMVY,Old Master Drawings from Chatsworth,Books,"Jaffe, Michael",,1987,International Exhibitions Foundation,,EUROPEAN - BRITISH ISLES,,,,,1987,,,,
FTT588M7,British art since 1900: an anthology,Books,"Rothenstein, John",,1962,Phaidon Press,,EUROPEAN - BRITISH ISLES,London,"Art, British",,,1962,,,181,
NDA4WJ8N,Sixteen Notable Eighteenth Century British Portraits,Books,"Holmes K C. V.O, Sir Charles",,1933,American Art Association,,EUROPEAN - BRITISH ISLES,,,,,1933,,,,
L7JMU3XG,"The banquet years: the origins of the avant garde in France, 1885 to World War I: Alfred Jarry, Henri Rousseau, Erik Satie [and] Guillaume Apollinaire",Books,"Shattuck, Roger",,1968,Vintage Books,,EUROPEAN - FRANCE,New York,"19th century; France; 20th century; Rousseau, Henri; Intellectual life; Apollinaire, Guillaume; Jarry, Alfred; Satie, Erik",,Rev. ed,1968,,,397,
8BW6VRJC,Rococo to Revolution: major trends in eighteenth-century painting,Books,"Levey, Michael",,1966,Praeger,,EUROPEAN - FRANCE,New York,"18th century; Painting, Modern",Praeger world of art series,,1966,,,252,
BT8388RE,A concise history of French painting,Books,"Lucie-Smith, Edward",,1971,Praeger,,EUROPEAN - FRANCE,New York,"Painting, French",,,1971,,,288,
2R4AJ778,Odilon Redon Gustave Moreau Rodolphe Bresdin,Books,"Rewald, John et al",,1962,Museum of Modern Art,,EUROPEAN - FRANCE,,,,,1962,,,,
JWF4EK6E,"French painting, from Le Nain to Fragonard",Books,"Thuillier, Jacques; Châtelet, Albert",,1964,Skira,,EUROPEAN - FRANCE,Geneva],"Painting, French",,,1964,,,275,
MX4B56XB,"Three Swiss Painters: Cuno Amiet, Giovanni Giacometti, Augusto Giacometti",Books,"Mauner, George",,1974,Guggenheim Museum,,EUROPEAN - NORTHERN,,,,,1974,,,,
JPU94D2Y,Pictures of Everyday Life: Genre Painting in Europe 1500-1900,Books,"Washburn, Gordon Bailey",,1954,Carnegie Institute,,EUROPEAN - NORTHERN,,,,,1954,,,,
7XHSKQMP,"Flemish painters, 1430-1830",Books,"Wilenski, Reginald Howard",,1960,Viking Press,,EUROPEAN - NORTHERN,New York,"Painters; Dictionaries; Flanders; Painting, Flemish",A Reynal book,,1960,,,2,
N7FLV9FK,Dutch Painting: From Geertgen tot Sint Jans to Vermeer,Books,"Leymarie, Jean",,1956,Skira,,EUROPEAN - NORTHERN,,,,,1956,,,,
QPHPLLRW,German Painting: From Durer to Holbein,Books,"Benesch, Otto",,1966,Edition d'Art Albert Skira,,EUROPEAN - NORTHERN,,,,,1966,,,,
NK4ZEYKK,Signs & symbols in Christian art,Books,"Ferguson, George",,1954,Oxford University Press,,General Reference,New York,Christian art and symbolism,,,1954,,,346,
64RY3SYA,Dictionary of American Art,Books,"Baigell, Matthew",,1979,John Murray,,General Reference,,,,,1979,,,,
AAXNZHC3,Dictionary of Pronunciation of Artists' Names,Books,"Kaltenbach, G. E.",,1972,Art Institute of Chicago,,General Reference,,,,,1972,,,,
2HDA3UQN,Contemporary Art: Art Since 1970,Books,"Taylor, Brandon",,2005,Pearson/Prentice Hall,,General Reference,,,,,2005,,,,
JSTV4WYT,Chagall,Books,"West, Shearer",,1990,Gallery Books,,Artist Oversize,,,,,1990,,,,
UWZXMT8E,Ann Weaver Norton: Sculptor: A Memorial Exhibition,Books,0,,1983,Norton Gallery of Art,,Artist,,,,,1983,,,,
L64FZ5AZ,"History of Italian Renaissance Art: Painting, Sculpture, Architecture",Books,"Hartt, Frederick",,1987,"Prentice-Hall, Inc. and Harry N. Abrams, Inc",,Renaissance,,,,,1987,,,,
DWFYM9ZK,"Made in Western Pennsylvania: Early Decorative Arts: An Exhibition, April 20-May 29, 1982",Books,"Chillingworth, Peter W. et al",,1982,Historical Society of Western Pennsylvania,,DECORATIVE ARTS,,,,,1982,,,,
Y4GKFBCL,The Cabinetmakers of America,Books,"Bjerkoe, Ethel Hall",,1978,Doubleday & Co,,DECORATIVE ARTS,,,,,1978,,,,
LQDPCLKL,A Social History of Furniture Design: From B.C. 1300 to A.D. 1960,Books,"Gloag, John",,1966,Crown Publishers Inc,,DECORATIVE ARTS,,,,,1966,,,,
XDSRD3VN,"The Practical Book of Period Furniture: Treating of Furniture of the English, American Colonial and Post-Colonial and Principal French Periods",Books,"Eberlein, Harold Donaldson and McClure",,1914,J. B. Lippincott Company,,DECORATIVE ARTS,,,,,1914,,,,
4AJQDIKY,The Practical Book of Chinaware,Books,"Eberlein, Harold Donaldson and Ramsdell",,1925,Halcyon House,,DECORATIVE ARTS,,,,,1925,,,,
6U28MPIX,Pottery and Porcelain: A Guide to Collectors,Books,"Litchfield, Frederick",,1951,M. Barrows and Company Inc,,DECORATIVE ARTS,,,,,1951,,,,
9NUXMEP4,Marks & Monograms: On European and Oriental Pottery and Porcelain,Books,"Chaffers, William",,1965,William Reeves Bookseller Ltd,,DECORATIVE ARTS,,,,,1965,,,,
K9RQGL96,Porcelain,Books,"Patterson, Jerry E.",,1979,Cooper-Hewitt Museum,,DECORATIVE ARTS,,,,,1979,,,,
V4C6E5CC,Clocks,Books,"Shaffer, Douglas H.",,1980,Cooper-Hewitt Museum,,DECORATIVE ARTS,,,,,1980,,,,
SN426HI2,Anne Kraus: A Survey,Books,0,,1998,Garth Clark Gallery,,ARTIST - K,,,,,1998,,,,
W8BZJ4SW,Louis Sullivan: The Shaping of American Architecture,Books,"Connely, Willard",,1960,Horizon Press,,ARCHITECTURE,,,,,1960,,,,
WCBAL5NL,Gothic architecture and scholasticism,Books,"Panofsky, Erwin",,1957,Meridian Books,,ARCHITECTURE,New York,"Architecture, Gothic; Scholasticism","Meridian books, M44",,1957,,,156,
P3G4TWGA,An outline of European architecture,Books,"Pevsner, Nikolaus",,1963,Penguin Books,,ARCHITECTURE,"Harmondsworth, Middlesex]",History; Europe; Architecture,,[7th ed,1963,,,496,
VCGM4WMF,Baroque and Rococo Architecture,Books,"Millon, Henry A.",,1965,"George Braziller, Inc",,ARCHITECTURE,,,,,1965,,,,
4P2ZVYIZ,Experiencing architecture: [Translation from Danish by Eve Wendt,Books,"Rasmussen, Steen Eiler",,1959,Technology Press of Massachusetts Institute of Technology,,ARCHITECTURE,"Cambridge, Mass",Architecture,,1st United States ed,1959,,,251,
CJN35AGX,The Architect's Drawing as a Commucication Medium: A One-Hundred Year Perspective,Books,"Reid & Stuhldreher, P. C.",,1988,University of Pittsburgh,,ARCHITECTURE,,,,,1988,,,,
