SI,Title,Type,Authors,ISBN,Publication Year,Publisher,Category,Call No,Location,Subject,Series,Edition,Year,Description,Tags,Num Pages,Place
8QT9MI26,A History of Far Eastern Art,Books,"Lee, Sherman E.",,1982,"Prentice-Hall, Inc. and Harry N. Abrams, Inc",,ASIAN,,,,,1982,,,,
N4LDL7DW,A Day at Qumran: The Dead Sea Sect and Its Scrolls,Books,"Roitman, Adolfo",,1997,Israel Museum,,ISLAMIC,,,,,1997,,,,
24AHEHDK,Islamic Art,Books,"Rice, David Talbot",,1975,Oxford University Press,,ISLAMIC,,,,,1975,,,,
X3MKNV94,Arab Painting,Books,"Ettinghausen, Richard",,1977,Rizzoli,,ISLAMIC,,,,,1977,,,,
DRWWNAQ9,Patterns and Precision: The Arts and Sciences of Islam,Books,"Miller, Robert L.",,1982,"National Committee to Honor the Fourteenth Centennial of Islam, Inc",,ISLAMIC,,,,,1982,,,,
NYLX9UNS,Oriental Rugs,Books,"Denny, Walter B.",,1979,Smithsonian Institution,,ISLAMIC,,,,,1979,,,,
PAPJMGZA,"Asian Art, Volume 5, Number 1, Winter 1992: Mesopotamian Art in the Louvre",Books,0,,1992,Oxford University Press and Sackler Gallery,,ANCIENT,,,,,1992,,,,
67NW6PR5,Textiles and Ornaments of India: A Selection of Designs,Books,"Wheeler, Monroe et al",,1956,Museum of Modern Art,,ISLAMIC,,,,,1956,,,,
LNHPFWRS,Akhenaten and Nefertiti,Books,"Aldred, Cyril",,1973,Brooklyn Museum,,ANCIENT,,,,,1973,,,,
82YQYLSR,Ancient Arts of the Andes,Books,"Bennett, Wendell C.",,1954,Museum of Modern Art,,ANCIENT,,,,,1954,,,,
ET2F5UE7,"Treasures of Egyptian art from the Cairo Museum: a centennial exhibition, 1970-71",Books,"Terrace, Edward Lee Bockman; Fischer, Henry George; Matḥaf al-Miṣrī",,1970,Museum of Fine Arts,,ANCIENT,Boston,"Exhibitions; Art, Egyptian",,,1970,,,188,
K62GIHQZ,Ancient Egypt,Books,"Casson, Lionel",,1977,"Time, Inc",,ANCIENT,,,,,1977,,,,
UK7NA2UH,Tutankhamen: Life and Death of a Pharoah,Books,"Desroches-Noblecourt, Christiane",,1963,"George Rainbird, Ltd",,ANCIENT,,,,,1963,,,,
3RS9GREE,Secrets of the Great Pyramid,Books,"Tompkins, Peter",,1971,Harper & Row,,ANCIENT,,,,,1971,,,,
5CI7BWAS,Gods and Myths of Ancient Egypt,Books,"Barnett, Mary",,1996,"Regency House Publishing, Ltd",,ANCIENT,,,,,1996,,,,
HIVLYETS,Altamira: The Beginning of Art,Books,"Garcia Guinea, Miguel Angel",,1968,,,ANCIENT,,,,,1968,,,,
9EQB8YBJ,Late Roman Painting,Books,"Dorigo, Wladimiro",,1970,Praeger Publishers,,ANCIENT,,,,,1970,,,,
87LDJ4M6,Pompeiian Wall Paintings,Books,"Maiuri, Amedeo",,,Hallwag,,ANCIENT,,,,,,,,,
QZNJZCWJ,The Roman Way,Books,"Hamilton, Edith",,1967,W. W. Norton & Co,,ANCIENT,,,,,1967,,,,
47HL4HB2,Roman and Etruscan Painting,Books,"Stenico, Arturo",,1963,Viking Press,,ANCIENT,,,,,1963,,,,
8JN2IF65,Herculaneum: Italy's Buried Treasure,Books,"Deiss, Joseph J.",,1966,Thomas Y. Crowell Co,,ANCIENT,,,,,1966,,,,
A5KHYJB4,The Art of Rome and Her Empire,Books,"Kahler, Heinz",,1965,Greystone Press,,ANCIENT,,,,,1965,,,,
8TISKX5K,Roman Architecture,Books,"Brown, Frank E.",,1967,"George Braziller, Inc",,ANCIENT,,,,,1967,,,,
VPAUL5GG,Tunisian Mosaics: Carthage in the Roman Era,Books,Smithsonian Institution,,1963,Smithsonian Institution,,ANCIENT,,,,,1963,,,,
LSFSTBQM,Etruscan Painting,Books,"Pallottino, Massimo",,1952,Editions Albert Skira,,ANCIENT,,,,,1952,,,,
TWX6VZSZ,Ancient Bronzes: A Selection from The Heckett Collection,Books,0,,1964,Carnegie Institute,,ANCIENT,,,,,1964,,,,
UHC6SLBY,The Life of Greece,Books,"Durant, Will",,1939,Simon and Schuster,,ANCIENT,,,,,1939,,,,
I6993WN5,The Praeger Encyclopedia of Ancient Greek Civilization,Books,"Devambez, Pierre et al",,1967,"Frederick A, Praeger",,ANCIENT,,,,,1967,,,,
EQ9JVPXZ,"Greek Art: Its Development, Character, and Influence",Books,"Cook, R. M.",,1973,Farrar Strauss Giroux,,ANCIENT,,,,,1973,,,,
