SI,Title,Type,Authors,ISBN,ISBN13,Publication Year,Publisher,Category,Call No,Location,Subject,Series,Edition,Year,Description,Tags,Num Pages,Place
MUIXZWUX,A short history of glass,Books,"Zerwick, Chloe; Corning Museum of Glass",0-8109-3801-4,,1990,H.N. Abrams in association with the Corning Museum of Glass,,Glass,New York,History; Glass,,Redesigned and updated 2nd ed,1990,,,112,
5P8LYDDQ,Cézanne,Books,"Cézanne, Paul; Cachin, Françoise; Philadelphia Museum of Art",0-8109-4039-6,,1996,H.N. Abrams in association with the Philadelphia Museum of Art,,Artist-C,New York,"Cézanne, Paul; Exhibitions",,,1996,,,600,
P48ULU2T,"Art in the modern era: styles, schools, movements",Books,"Dempsey, Amy",0-8109-4172-4,,2002,Harry N. Abrams,,General Reference,New York,"History; 20th century; Art, Modern; Art movements; Encyclopedias",,,2002,,,,
ZYEY33B2,Looking at pictures: an introduction to art for young people,Books,"Richardson, Joy; Voake, Charlotte",0-8109-4252-6,,1997,Harry N. Abrams,,K-12,New York,National Gallery (Great Britain); Painting; Juvenile literature; Art appreciation; Appreciation Juvenile literature,,,1997,,,80,
JLQ4BEM5,Lee Bontecou: a retrospective,Books,"Bontecou, Lee; De Salvo, Donna M.; Philbin, Ann; Smith, Elizabeth A. T.; Hammer Museum; Museum of Co",0-8109-4618-1,,2003,Museum of Contemporary Art ; UCLA Hammer Museum ; in association with H.N. Abrams,,ARTIST-B,Chicago : Los Angeles : New York,"Bontecou, Lee; Catalogs",,,2003,,,240,
E96VJYV4,Stained glass: from its origins to the present,Books,"Raguin, Virginia Chieffo; Higgins, Mary Clerkin",0-8109-4644-0,,2003,H.N. Abrams,,Glass,New York,History; Glass painting and staining,,,2003,,,288,
5DV8ZMQF,Léger,Books,"Léger, Fernand; Faerna, José María",0-8109-4688-2,,1996,Cameo/Abrams,,Artist L,New York,"France; Catalogs; Cubism; Léger, Fernand",Great modern masters,,1996,,,64,
QTQ8YKYL,Rouault,Books,"Rouault, Georges; Faerna, José Maria",0-8109-4697-1,,1997,Cameo/Abrams,,ARTIST - R,New York,"Catalogs; Criticism and interpretation; Rouault, Georges",Great modern masters,,1997,,,64,
Z92GY4V3,The Abrams encyclopedia of photography,Books,0,0-8109-5609-8,,2004,"Harry N. Abrams, Publishers",,PHOTOGRAPHY,New York,Photography; Encyclopedias,,,2004,,,287,
IY7CQ8QY,Richard Serra: Sculpture,Books,"Krauss, Rosalind E.",0-8109-6071-0,,1986,Museum of Modern Art,,ARTIST - S,,0,,,1986,,,,
FQWFEYFI,"Jasper Johns: writings, sketchbook notes, interviews",Books,"Johns, Jasper; Hollevoet, Cristel; Varnedoe, Kirk; Museum of Modern Art (New York, N.Y.)",0-8109-6166-0,,1996,Museum of Modern Art : Distributed by Abrams,,ARTIST - J,New York,"Biography; United States; Artists; Interviews; Johns, Jasper; Philosophy",,,1996,,,320,
NNMCX8D8,Lucian Freud,Books,"Feaver, William; Auerbach, Frank; Freud, Lucian; Fundació ""La Caixa""; Museum of Contemporary Art (Lo",0-8109-6267-5,,2002,Tate Pub. ; Distributed in North and South America by Harry N. Abrams,,ARTIST - F OVERSIZE,London : New York,"Exhibitions; Freud, Lucian; Human figure in art",,,2002,,,240,
AUGDELAJ,Degas,Books,"Boggs, Jean Sutherland; Degas, Edgar; Art Institute of Chicago",0-8109-6324-8,,1996,Art Institute of Chicago ; Distributed by H.N. Abrams,,ARTIST - D,[Chicago] : New York,"Art Institute of Chicago; Catalogs; Degas, Edgar",Artists in focus,,1996,,,112,
VL922XZM,"Van Gogh's van Goghs: masterpieces from the Van Gogh Museum, Amsterdam",Books,"Kendall, Richard; Gogh, Vincent van; Heugten, Sjraar van; Leighton, John; Los Angeles County Museum ",0-8109-6366-3,,1998,National Gallery of Art ; Distributed by H.N. Abrams,,ARTIST - V,Washington : New York,"Exhibitions; Painting; Gogh, Vincent van; Netherlands Amsterdam; Van Gogh Museum, Amsterdam",,,1998,,,160,
94RBAA5E,Stuart Davis: American painter,Books,"Sims, Lowery Stokes; Davis, Stuart; Metropolitan Museum of Art (New York, N.Y.); San Francisco Museu",0-8109-6405-8,,1991,Metropolitan Museum of Art : Distributed by H.N. Abrams,,ARTIST - D,New York,"Criticism and interpretation; Davis, Stuart; Exhibitions",,,1991,,,333,
KXVMZUCP,"Georges Seurat, 1859-1891",Books,"Herbert, Robert L.; Seurat, Georges; Galeries nationales du Grand Palais (France); Metropolitan Muse",0-8109-6410-4,,1991,Metropolitan Museum of Art : Distributed by Abrams,,artist S,New York,"Exhibitions; Seurat, Georges",,,1991,,,450,
L53472NU,Royal art of Benin: the Perls collection in the Metropolitan Museum of Art,Books,"Ezra, Kate; Metropolitan Museum of Art (New York, N.Y.)",0-8109-6414-7,,1992,Metropolitan Museum of Art : Distributed by H.N. Abrams,,AFRICAN,New York,"Exhibitions; Art; Art collections Exhibitions; New York (State) New York; Private collections Exhibitions; Art, Beninese; Metropolitan Museum of Art (New York, N.Y.); Perls, Klaus",,,1992,,,330,
GYN7S6EG,Rembrandt/not Rembrandt in the Metropolitan Museum of Art: aspects of connoisseurship,Books,0,0-8109-6493-7,,1995,Metropolitan Museum of Art : Distributed by H.N. Abrams,,ARTIST - R,New York,Art; Criticism and interpretation; Expertising; New York (State) New York; Rembrandt Harmenszoon van Rijn,,,1995,,,2,
54B4WLTS,Louis Comfort Tiffany: at the Metropolitan Museum of Art,Books,"Frelinghuysen, Alice Cooney; Metropolitan Museum of Art (New York, N.Y.)",0-8109-6535-6,,1998,Harry N. Abrams,,Glass,New York ; London,"Exhibitions; Tiffany, Louis Comfort; Decoration and ornament; Favrile glass; Art nouveau Exhibitions",,,1998,,,100,
WPU776R9,Ancient art from Cyprus: the Cesnola collection in the Metropolitan Museum of Art,Books,0,0-8109-6552-6,,2000,Metropolitan Museum of Art Distributed by H.N. Abrams,,ANCIENT,New York,"Art; Art collections; Catalogs; New York (State) New York; Metropolitan Museum of Art (New York, N.Y.); Antiquities; Art, Ancient; Art, Cypriot; Cesnola, Luigi Palma di; Cyprus",,,2000,,,305,
Z273SLX2,O'Keeffe on paper,Books,"Fine, Ruth; Glassman, Elizabeth; Lynes, Barbara Buhler; O'Keeffe, Georgia; Walsh, Judith C.; Georgia",0-8109-6698-0,,2000,National Gallery of Art ; Distributed by H.N. Abrams,,ARTIST - O,"Washington, D.C. : New York","Exhibitions; O'Keeffe, Georgia",,,2000,,,143,
YNRHSR5K,Georg Baselitz,Books,"Waldman, Diane",0-8109-6885-1,,1995,Guggenheim Museum,,ARTIST-B,,0,,,1995,,,,
6ZN5S5I8,"Renoir, his life, art, and letters",Books,"White, Barbara Ehrlich; Renoir, Auguste",0-8109-8088-6,,1988,Abrams,,ARTIST - R OVERSIZE,New York,"France; Biography; Painters; Renoir, Auguste",,1988 ed,1988,,,311,
FU36RZHK,American photography: a century of images,Books,"Goldberg, Vicki; Silberman, Robert B.",0-8118-2622-8,,1999,Chronicle Books,,PHOTOGRAPHY,"San Francisco, Calif",History; 20th century; United States; Photography,,,1999,,,232,
44UJX85H,Reclining nude,Books,"Ferrara, Lidia Guibert",0-8118-3665-7,,2002,Chronicle Books,,GENERAL HISTORY,"San Francisco, CA",Female nude in art; Lying down position in art,,,2002,,,129,
L3C9VN6P,Googie redux: ultramodern roadside architecture,Books,"Hess, Alan; Hess, Alan",0-8118-4272-X,,2004,Chronicle Books,,ARCHITECTURE,San Francisco,"History; 20th century; California, Southern; Coffee shops; Modern movement (Architecture); Popular culture; Roadside architecture",,,2004,,,222,
LI7728IR,Design,Books,"Hauffe, Thomas",0-8120-9772-6,,1996,Barron's,,DECORATIVE ARTS,"Hauppauge, N.Y",History; Design,Crash course series,1st ed. for the U.S. and Canada,1996,,,192,
4NXP6FY8,A Graphic Odyssey: Romare Bearden as Printmaker,Books,"Gelburd, Gail",0-8122-1414-5,,1992,,,ARTIST-B,,0,,,1992,,,,
JSKU22U3,Romare Bearden: the Caribbean dimension,Books,"Price, Sally; Bearden, Romare; Price, Richard",0-8122-3948-2,,2006,University of Pennsylvania Press,,ARTIST-B,Philadelphia,"20th century; Art, Caribbean; Bearden, Romare; Catalogs",,,2006,,,189,
MNGIECC8,Masters of seventeenth-century Dutch genre painting,Books,0,0-8122-7951-4,,1984,Philadelphia Museum of Art,,BAROQUE,Philadelphia,"Exhibitions; 17th century; Genre painting, Dutch",,,1984,,,397,
9KD7VWHH,American plastic: a cultural history,Books,"Meikle, Jeffrey L.",0-8135-2234-X,,1995,Rutgers University Press,,DECORATIVE ARTS,"New Brunswick, N.J",History; United States; Plastics; Plastics industry and trade,,,1995,,,403,
5BGGAH4Y,"Leon Kroll, a spoken memoir",Books,"Kroll, Leon; Bowers, Fredson; Hale, Nancy; University of Virginia",0-8139-0992-9,,1983,Published by the University Press of Virginia for the University of Virginia Art Museum,,Artist K,Charlottesville,"Painters; United States; Interviews; Kroll, Leon",,,1983,,,140,
CPLY3EPW,Sacred Art in a Secular Century,Books,"Davies, Horton and Davies",0-8146-0970-8,,1978,The Liturgical Press,,MODERN,,0,,,1978,,,,
GB9PGHEC,"12 dialogues, 1962-1963",Books,"André, Carl; Buchloh, B. H. D.; Frampton, Hollis",0-8147-0579-0,,1981,Press of the Nova Scotia College of Art and Design ; New York University Press,,Artist-A,"Halifax, N.S. (5163 Duke St., Halifax, N.S.) : New York, N.Y","20th century; Artists; Arts, American; Avant-garde (Aesthetics); Interviews; United States",The Nova Scotia series--source materials of the contemporary arts,,1981,,,134,
V2W343T5,New dictionary of modern sculpture,Books,0,0-8148-0479-9,,1971,Tudor Pub. Co,,Sculpture,New York,Sculptors; Dictionaries,,,1971,,,328,
UHQCL2AJ,Adelaide Alsop Robineau: glory in porcelain,Books,0,0-8156-0171-9,,1981,Syracuse University Press : Everson Museum of Art,,Artist R,"Syracuse, N.Y","Biography; New York (State); Potters; Robineau, Adelaide Alsop",,1st ed,1981,,,235,
FR3ZN9Z7,Dictionary of the arts,Books,0,0-8160-3205-X,,1994,Facts on File,,General Reference,New York,Artists; Dictionaries; Biography Dictionaries; Arts,,,1994,,,564,
TKU7WJVS,The dictionary of world myth,Books,0,0-8160-3300-5,,1995,Facts on File,,General Reference,New York,Dictionaries; Mythology,,,1995,,,240,
JBF23VNF,Photographers: history and culture through the camera,Books,"Jackson, Nancy",0-8160-3358-7,,1997,Facts on File,,PHOTOGRAPHY,New York,"United States; Documentary photography; Photography, Artistic; Photographers; Biography Juvenile literature; History Juvenile literature",American profiles,,1997,,,134,
NMLUPQRY,Innovative furniture in America from 1800 to the present: exhibition,Books,"Hanks, David A.; Roth, Rodris; Talbott, Page; Cooper-Hewitt Museum",0-8180-0450-9,,1981,Horizon Press,,DECORATIVE ARTS,New York,History; United States; Furniture,,,1981,,,200,
445TX9AS,Artists in photographs,Books,"Mones, Arthur; Carnegie Institute",0-8180-1423-7,,1981,"Horizon Press in association with the Museum of Art, Carnegie Institute",,ARTIST - M,New York,"Artists; Portraits Exhibitions; Mones, Arthur",,,1981,,,79,
9CBY9URR,Klee as in clay: a pronunciation guide,Books,"McConkey, Wilfred J.",0-8191-5620-5,,1986,Hamilton Press,,NX163 .M3 1986,"Lanham, MD",Artists; Registers; Names; Pronunciation,,,1986,,,61,
