SI,Title,Type,Authors,ISBN,ISBN13,Publication Year,Publisher,Category,Call No,Location,Subject,Series,Edition,Year,Description,Tags,Num Pages,Place
PDL6DZQF,Design basics,Books,"Lauer, David A.",0-03-030422-9,,1990,"Holt, Rinehart, and Winston",,GENERAL APPRECIATION/CRITICISM,Ft. Worth,Design,,3rd ed,1990,,,274,
Q7IACU45,David Hockney,Books,"Livingstone, Marco",0-03-059859-1,,1981,"Holt, Rinehart, and Winston",,ARTIST - H,New York,"Hockney, David",,1st American ed,1981,,,251,
6JKCSNNR,Modern perspectives in Western art history: an anthology of 20th-century writings on the visual arts,Books,"Kleinbauer, W. Eugene",0-03-078220-1,,1971,"Holt, Rinehart and Winston",,GENERAL APPRECIATION/CRITICISM,New York,Art,,,1971,,,528,
WER54UFR,"Art, music & ideas",Books,"Fleming, William",0-03-082865-1,,1970,"Holt, Rinehart and Winston",,GENERAL HISTORY,New York,History; Arts,,,1970,,,366,
Q8YCGJRL,The age of Rembrandt and Vermeer: Dutch painting in the seventeenth century,Books,"Nash, J. M.",0-03-091870-7,,1972,"Holt, Rinehart, and Winston",,BAROQUE,New York,"Rembrandt Harmenszoon van Rijn; 17th century; Painting, Dutch; Vermeer, Johannes",,,1972,,,271,
PW9JN6Q2,Mary Cassatt,Books,"Pollock, Griselda",0-06-013348-1,,1980,Harper & Row,,ARTIST-C,New York,0,,1st U.S. ed,1980,,,119,
IDEUV746,The meanings of modern art,Books,"Russell, John",0-06-013701-0,,1981,Museum of Modern Art : Harper & Row,,MODERN,New York,"19th century; 20th century; Art, Modern",,Rev. and updated ed.,1981,,,429,
5IXXFJSP,Artforms: An Introduction to the Visual Arts,Books,"Preble, Duane and Sarah",0-06-045211-0,,1989,Harper & Row,,GENERAL APPRECIATION/CRITICISM,,0,,,1989,,,,
SLYXQI8C,"Mistress of the Elgin Marbles: a biography of Mary Nisbet, Countess of Elgin",Books,"Nagel, Susan",0-06-054554-2,,2004,William Morrow,,GENERAL HISTORY,New York,"Biography; Great Britain; Elgin marbles; Diplomats' spouses; Elgin, Thomas Bruce; Ferguson, Mary Nisbet; Marriage",,1st ed,2004,,,294,
PU5WLJB7,Ancient Egyptian Religion: An Interpretation,Books,"Frankfort, H.",0-06-130077-2,,1948,Columbia University Press,,ANCIENT,,0,,,1948,,,,
JW22BEHE,A View of Greek Art,Books,"Holloway, R. Ross",0-06-430046-3,,1974,Harper & Row,,ANCIENT,,0,,,1974,,,,
X52FRZ7H,The Renaissance Rediscovery of Linear Perspective,Books,Edgerton,0-06-430069-2,,1975,Harper & Row,,RENAISSANCE - BAROQUE,,0,,,1975,,,,
CV79BYA8,Images of American Living: Four Centuries of Architecture and Furniture as Cultural Expression,Books,"Gowans, Alan",0-06-430072-2,,1976,Harper & Row,,DECORATIVE ARTS,,0,,,1976,,,,
PLHU46WZ,Milton Avery,Books,"Haskell, Barbara; Avery, Milton; Whitney Museum of American Art",0-06-430121-4,,1982,Whitney Museum of American Art in Association with Harper & Row,,ARTIST-A,New York,"Avery, Milton; Biography; Painters; United States",,1st ed,1982,,,223,
2DRPHG37,"The pluralist era: American art, 1968-1981",Books,"Robins, Corinne",0-06-430137-0,,1984,Harper & Row,,AMERICAN,New York,"20th century; Art, American",Icon editions,1st ed,1984,,,246,
6AP4J5YT,"Understanding architecture: its elements, history, and meaning",Books,"Roth, Leland M.",0-06-430158-3,,1993,Icon Editions,,ARCHITECTURE,"New York, NY",History; Architecture,,1st ed,1993,,,542,
VTKK9TMN,Dictionary of the decorative arts,Books,"Fleming, John; Honour, Hugh",0-06-430164-8,,1986,Harper & Row,,DECORATIVE ARTS,New York,Dictionaries; Decorative arts,Econ editions,1st Icon ed,1986,,,896,
B4TM2P9F,The New York School: the painters and sculptors of the fifties,Books,"Sandler, Irving",0-06-438505-1,,1978,Harper & Row,,MODERN,New York,"20th century; Art, American; New York (State); New York school of art",Icon editions,1st ed,1978,,,366,
CV9GFU8I,Art of the postmodern era: from the late 1960s to the early 1990s,Books,"Sandler, Irving",0-06-438509-4,,1996,IconEditions,,MODERN,New York,"20th century; United States; Themes, motives; Europe; Art, American; Art, European; Postmodernism",,1st ed,1996,,,636,
CBQD8Y27,"American light: the luminist movement, 1850-1875: paintings, drawings, photographs",Books,0,0-06-438940-5,,1980,National Gallery of Art,,AMERICAN,"Washington, D.C","19th century; Exhibitions; Photography, Artistic; Landscapes in art; Art, American; Hudson River school of landscape painting; Luminism (Art)",,,1980,,,330,
2BHN2G6C,Michelangelo,Books,"Raboff, Ernest",0-06-446074-6,,1988,Harper & Row,,ARTIST - M,,0,,,1988,,,,
L84GYP56,From slavery to freedom: a history of African Americans,Books,"Franklin, John Hope; Moss, Alfred A.",0-07-021907-9,,1994,McGraw-Hill,,GENERAL HISTORY,New York,History; United States; African Americans; Slavery,,7th ed,1994,,,680,
VBIVXZMX,Roman Art: Romulus to Constantine,Books,"Ramage, Nancy H. and Andrew Ramage",0-13-027883-1,,2001,"Prentice-Hall, Inc",,ANCIENT,,0,,,2001,,,,
2AQPB47P,"Architecture, from prehistory to post-modernism: the western tradition",Books,"Trachtenberg, Marvin; Hyman, Isabelle",0-13-044702-1,,1986,Prentice-Hall ; H.N. Abrams,,Architecture,"Englewood Cliffs, N.J. : New York",History; Architecture,,,1986,,,606,
WALS36S2,"The arts of the Italian Renaissance: painting, sculpture, architecture",Books,"Paatz, Walter",0-13-047316-2,,1974,Prentice-Hall,,RENAISSANCE,"Englewood Cliffs, N.J","Art, Renaissance; Italy; Art, Italian",,,1974,,,277,
29PS9YGA,Art Past Art Present,Books,"Wilkins, David G. and Schulz",0-13-048018-5,,1990,"Harry N. Abrams, Inc",,GENERAL HISTORY,,0,,,1990,,,,
FRI32JDM,Art history,Books,"Stokstad, Marilyn; Addiss, Stephen; Collins, Bradford R.",0-13-082581-6,,1999,H.N. Abrams,,GENERAL HISTORY,New York,History; Art,,Rev. ed,1999,,,2,
V8CWFIDD,The Visual Arts: A History,Books,"Honour, Hugh and Fleming",0-13-095790-9,,2000,"Prentice-Hall, Inc",,GENERAL HISTORY,,0,,,2000,,,,
YVJJ8KIV,"History of Italian Renaissance art: painting, sculpture, architecture",Books,"Hartt, Frederick; Wilkins, David G.",0-13-188247-3,,2006,Prentice Hall,,RENAISSANCE,"Upper Saddle River, N.J","Art, Renaissance; Italy; Art, Italian",,6th ed,2006,,,736,
QRJLTQN2,"Form, space, and vision: understanding art; a discourse on drawing",Books,"Collier, Graham",0-13-329458-7,,1972,Prentice-Hall,,GENERAL APPRECIATION/CRITICISM,"Englewood Cliffs, N.J","Drawing; Technique; Creation (Literary, artistic, etc.)",,3d ed,1972,,,304,
C589FPML,From Abacus to Zeus: a handbook of art history,Books,"Pierce, James Smith; Janson, H. W.",0-13-331686-6,,1977,Prentice-Hall,,General Reference,"Englewood Cliffs, N.J",Art; Dictionaries,,,1977,,,131,
X27NDUIU,"History of Italian Renaissance art: painting, sculpture, architecture",Books,"Hartt, Frederick; Wilkins, David G.",0-13-393380-6,,1994,Prentice Hall ; H.N. Abrams,,RENAISSANCE,"Englewood Cliff, N.J. : New York","Art, Renaissance; Italy; Art, Italian",,4th ed,1994,,,696,
DLGBE6VG,The joyous vision: a source book for elementary art appreciation,Books,"Hurwitz, Al; Madeja, Stanley S.",0-13-511600-7,,1977,Prentice-Hall,,Docent/Museum Education,"Englewood Cliffs, N.J",Art appreciation; Study and teaching (Elementary); Study and teaching (Secondary),,,1977,,,302,
7SCN2PNK,Theories of contemporary art,Books,0,0-13-913666-5,,1985,Prentice-Hall,,General/Appreciation/Criticism,"Englewood Cliffs, N.J","20th century; Art, Modern; Art; Philosophy",,,1985,,,314,
KFH2AV5H,On understanding art museums,Books,0,0-13-936278-9,,1975,Prentice-Hall,,Docent/Museum Education,"Englewood Cliffs, N.J",Art museums,A Spectrum book,,1975,,,212,
LZCWSYP7,Varieties of visual experience,Books,"Feldman, Edmund Burke",0-13-940602-6,,1987,Prentice-Hall ; H.N. Abrams,,GENERAL APPRECIATION/CRITICISM,"Englewood Cliffs, N.J. : New York",Visual perception; Art; Psychology; Composition (Art),,3rd ed,1987,,,528,
XZ6HWBCS,Off the wall: Robert Rauschenberg and the art world of our time,Books,"Tomkins, Calvin",0-14-005812-5,,1981,Penguin Books,,Artist,New York,"20th century; Biography; United States; Artists; Art, American; Rauschenberg, Robert",,,1981,,,324,
APJQSUUU,Before the Mayflower: a history of Black America,Books,"Bennett, Lerone",0-14-017822-8,,1993,Penguin Books,,GENERAL HISTORY,New York,History; African Americans,,6th ed,1993,,,713,
3NASZKT2,High Renaissance,Books,"Levey, Michael",0-14-021823-8,,1975,Penguin,,RENAISSANCE,Harmondsworth ; Baltimore [etc.],"History; Art, High Renaissance",Pelican books,,1975,,,320,
3K3YDTN7,The Guerrilla Girls' bedside companion to the history of Western art,Books,0,0-14-025997-X,,1998,Penguin Books,,ARTIST - G,New York,History; Art; Feminism and art; Women artists,,,1998,,,95,
3G999FJR,The Penguin dictionary of architecture,Books,"Fleming, John; Honour, Hugh; Pevsner, Nikolaus",0-14-051013-3,,1980,Penguin,,Architecture,"Harmondsworth, Middlesex, England ; New York, N.Y., U.S.A",Architecture; Dictionaries,Penguin reference books,3rd ed,1980,,,356,
NBZNBDSA,The Penguin dictionary of archaeology,Books,"Bray, Warwick; Trump, David H.",0-14-051045-1,,1972,Penguin,,General Reference,Harmondsworth,Dictionaries; Archaeology,"Penguin reference books, R45",,1972,,,269,
42R3RNUU,The Penguin dictionary of art and artists,Books,"Murray, Peter; Murray, Linda",0-14-051300-0,,1997,Penguin Books,,General Reference,"London, England ; New York",Art; Artists; Dictionaries; Biography Dictionaries,Penguin reference books,7th ed,1997,,,579,
6JAVK3S9,The Penguin dictionary of saints,Books,"Attwater, Donald; John, Catherine Rachel",0-14-051312-4,,1995,Penguin Books,,Religion/Myth,London ; New York,Biography Dictionaries; Christian saints,Penguin reference books,3rd ed,1995,,,381,
8XSRJPGM,"Painting and sculpture in Europe, 1880-1940",Books,"Hamilton, George Heard",0-14-056129-3,,1972,Penguin Books,,MODERN,"Baltimore, Md.]","19th century; 20th century; Art, European",The Pelican history of art,[Rev. and corr,1972,,,624,
MX2ZJECE,Roman art,Books,"Strong, Donald Emrys; Ling, Roger; Toynbee, J. M. C.",0-14-056139-0,,1988,Penguin Books,,ANCIENT,"Harmondsworth, Middlesex, England ; New York, N.Y., U.S.A","Art, Roman",The Pelican history of art,2nd ed,1988,,,408,
NJS4Z8ZH,Etruscan and early Roman architecture,Books,"Boëthius, Axel; Ling, Roger; Rasmussen, Tom",0-14-056144-7,,1978,Penguin Books,,ARCHITECTURE,"Harmondsworth, Eng. ; New York",Architecture; Italy Etruria; Italy Rome,The Pelican history of art,"2d integrated ed., rev",1978,,,264,
T834PA6K,Gardner's art through the ages,Books,"Gardner, Helen; De la Croix, Horst; Tansey, Richard G.",0-15-503763-3,,1986,Harcourt Brace Jovanovich,,GENERAL HISTORY,San Diego,History; Art,,8th ed,1986,,,1008,
4XRZBQ8E,Archaic and classical Greek art,Books,"Osborne, Robin",0-19-284202-1,,1998,Oxford University Press,,ANCIENT,Oxford ; New York,"Antiquities; Art, Ancient; Greece",Oxford history of art,,1998,,,270,
69EYTJUX,After modern art: 1945-2000,Books,"Hopkins, David",0-19-284234-X,,2000,Oxford University Press,,MODERN,Oxford ; New York,"20th century; Art, American; Art, European",Oxford history of art,,2000,,,282,
AHGIYFUX,The Oxford Illustrated History of Medieval Europe,Books,"Holmes, George",0-19-285220-5,,1991,Oxford University Press,,MEDIEVAL,,0,,,1991,,,,
SI2UD3B3,Signs & Symbols in Christian Art,Books,"Ferguson, George",0-19-501432-4,,1972,Oxford University Press,,MEDIEVAL,,0,,,1972,,,,
NGXCS85J,The ancient Romans,Books,"Starr, Chester G.",0-19-501455-3,,1971,Oxford University Press,,ANCIENT,New York,History; Rome,,,1971,,,256,
HRSYGB67,A history of architecture: settings and rituals,Books,"Kostof, Spiro",0-19-503472-4,,1985,Oxford University Press,,ARCHITECTURE,New York,History; Architecture,,,1985,,,788,
XBH73IFS,"Memory and metaphor: the art of Romare Bearden, 1940-1987",Books,"Bearden, Romare; Campbell, Mary Schmidt; Patton, Sharon F.; Studio Museum in Harlem",0-19-506347-3,,1991,Studio Museum in Harlem : Oxford University Press,,ARTIST-B,New York,"Bearden, Romare; Exhibitions",,,1991,,,128,
TSLI28NQ,Greek Art,Books,"Boardman, John",0-19-519917-0,,1964,Oxford University Press,,ANCIENT,,0,,,1964,,,,
QP296YXB,A concise history of modern painting,Books,"Read, Herbert; Feaver, William; Tisdall, Caroline",0-19-519940-5,,1985,Thames and Hudson : Distributed by Norton,,MODERN,"New York, N.Y","20th century; Painting, Modern",The World of art,"New ed., New enl. updated ed",1985,,,392,
NDXC5X4H,Greek sculpture: the archaic period: a handbook,Books,"Boardman, John",0-19-520046-2,,1978,Oxford University Press,,ANCIENT,New York,"Sculpture, Greek",,,1978,,,252,
NG99HSJ5,Francis Bacon,Books,"Russell, John",0-19-520113-2,,1979,Oxford University Press,,ARTIST-B,New York,"Bacon, Francis; Biography; Great Britain; Painters",World of art series,Rev. ed,1979,,,192,
9PWAYPTS,Athenian red figure vases: the archaic period: a handbook,Books,"Boardman, John",0-19-520155-8,,1979,Oxford University Press,,ANCIENT,New York,"Greece Athens; Vase-painting, Greek",The World of art,,1979,,,252,
Z3SYRREV,Matisse,Books,"Gowing, Lawrence",0-19-520157-4,,1979,Oxford University Press,,ARTIST - M,New York,"France; Biography; Painters; Matisse, Henri",The World of art,,1979,,,216,
FGL7X895,Michelangelo,Books,"Murray, Linda",0-19-520163-9,,1980,Oxford University Press,,ARTIST - M,New York,Biography; Artists; Italy; Michelangelo Buonarroti,World of art,,1980,,,216,
UCW83KWP,Chinese art,Books,"Tregear, Mary",0-19-520189-2,,1980,Oxford University Press,,CHINESE,New York,"Art, Chinese",The World of art,,1980,,,216,
MCB9YJNX,Rodin,Books,"Champigneulle, Bernard",0-19-520191-4,,1980,Oxford University Press,,ARTIST - R,New York,"France; Biography; Sculptors; Rodin, Auguste",The World of art,,1980,,,287,
ZV7WT2EQ,Modigliani,Books,"Mann, Carol",0-19-520198-1,,1980,Oxford University Press,,ARTIST - M,New York,"Biography; Artists; Italy; Modigliani, Amedeo",The World of art,,1980,,,216,
JCJDMCIS,American art since 1945,Books,"Ashton, Dore",0-19-520359-3,,1982,Oxford University Press,,AMERICAN,New York,"History; 20th century; United States; Avant-garde (Aesthetics); Art, American",,,1982,,,224,
2CEATDEQ,Murder of a Medici princess,Books,"Murphy, Caroline",0-19-531439-5,,2008,Oxford University Press,,GENERAL CMoA/PGH,Oxford ; New York,"History; Biography; 16th century; 1421-1737; 1434-1737; Court and courtiers History; Florence (Italy); Italy Florence; Kings and rulers; Medici, House of; Medici, Isabella Romola de'; Princesses; Tuscany (Italy)",,,2008,,,397,
2B9ADNWY,The Oxford companion to art,Books,0,0-19-866107-X,,1970,Clarendon P,,General Reference,Oxford,Art; Artists; Dictionaries,,,1970,,,1277,
3V9T2RDB,Painting and Experience in Fifteenth Century Italy: A Primer in the Social History of Pictorial Style,Books,"Baxandall, Michael",0-19-881329-5,,1980,Oxford University Press,,RENAISSANCE,,0,,,1980,,,,
PYYCV4HK,Greek art and archaeology,Books,"Pedley, John Griffiths",0-205-00133-5,,2012,Prentice Hall,,ANCIENT,"Upper Saddle River, NJ","Antiquities; Greece; Art, Greek",,5th ed,2012,,,400,
3RB8DUEP,Rome and medieval culture: selections from History of the city of Rome in the Middle Ages,Books,"Gregorovius, Ferdinand; Morrison, Karl Frederick",0-226-30749-2,,1971,University of Chicago Press,,MEDIEVAL,Chicago,History; 476-1420; Church and state; Holy Roman Empire; Rome (Italy); To 1500,Classic European historians,,1971,,,465,
ESRWBDJC,The reformation of the image,Books,"Koerner, Joseph Leo",0-226-45006-6,,2004,University of Chicago Press,,GENERAL HISTORY,Chicago,"History; Germany; Criticism and interpretation; Art, German; 16th century; Cranach, Lucas; Iconoclasm; Reformation and art",,,2004,,,494,
JC5M9YXF,Primitive art in civilized places,Books,"Price, Sally",0-226-68063-0,,1989,University of Chicago Press,,GENERAL HISTORY,Chicago,"Aesthetics; Art, Primitive; Art and anthropology; Ethnocentrism; Moral and ethical aspects",,,1989,,,145,
FVRB5D7L,Frank Lloyd Wright: a biography,Books,"Secrest, Meryle",0-226-74414-0,,1998,University of Chicago Press,,ARTIST - W,Chicago,"Biography; United States; Architects; Wright, Frank Lloyd",,University of Chicago Press ed,1998,,,634,
9LLF86DS,Documentary expression and thirties America,Books,"Stott, William",0-226-77559-3,,1986,University of Chicago Press,,PHOTOGRAPHY,Chicago,United States; Popular culture; Documentary mass media,,,1986,,,369,
4JJQU52D,The fine arts in America,Books,"Taylor, Joshua Charles",0-226-79150-5,,1979,University of Chicago Press,,AMERICAN,Chicago,"United States; Art; Art, American",The Chicago history of American civilization,,1979,,,264,
EDLYAERU,Greece in the Bronze Age,Books,"Vermeule, Emily",0-226-85354-3,,1972,University of Chicago,,ANCIENT,,0,,,1972,,,,
Y9KVRRGH,"Early medieval art, with illustrations from the British Museum and British Library collections",Books,"Kitzinger, Ernst; British Library; British Museum",0-253-11884-0,,1983,Indiana University Press,,MEDIEVAL,Bloomington,"Art, Medieval; British Museum",Midland book,Rev. ed,1983,,,127,
ZP8HP5LD,"English art and modernism, 1900-1939",Books,"Harrison, Charles",0-253-13722-5,,1981,Allen Lane ; Indiana University Press,,MODERN,"London : Bloomington, Ind","20th century; Modernism (Art); England; Art, English",,,1981,,,416,
327WCHVI,"Gardens of earthly delight: sixteenth and seventeenth-century Netherlandish gardens: April 3-May 18, 1986",Books,"Arbitman, Kahren Jones; Frick Art Museum (Pittsburgh, Pa.)",0-253-21252-9,,1986,Frick Art Museum ; Distributed by Indiana University Press,,CATALOGUE,"Pittsburgh, Pa. : Bloomington, Ind","Exhibitions; 17th century; 16th century; Art, Dutch; Art, Flemish; Gardens in art",,,1986,,,82,
KG2T9258,Foul perfection: essays and criticism,Books,"Kelley, Mike; Welchman, John C.",0-262-11270-1,,2003,MIT Press,,Artist K,"Cambridge, Mass","Aesthetics; Art criticism; Kelley, Mike; Written works",,,2003,,,238,
K7QH5QJZ,"Mike Kelley: minor histories--statements, conversations, proposals",Books,"Kelley, Mike; Welchman, John C.",0-262-11277-9,,2004,MIT Press,,Artist K,"Cambridge, Mass","History; 20th century; United States; Kelley, Mike; Conceptual art; Performance art",,,2004,,,431,
NTXRCLEH,"The American design adventure, 1940-1975",Books,"Pulos, Arthur J.",0-262-16106-0,,1988,MIT Press,,DECORATIVE ARTS,"Cambridge, Mass",History; 20th century; United States; Industrial design,,,1988,,,446,
7A5TD84J,Learning from Las Vegas: the forgotten symbolism of architectural form,Books,"Venturi, Robert; Izenour, Steven; Scott Brown, Denise",0-262-22020-2,,1977,MIT Press,,ARCHITECTURE,"Cambridge, Mass",Architecture; Nevada Las Vegas; Symbolism in architecture,,,1977,,,192,
B2Q4VKLS,Pittsburgh: an urban portrait,Books,"Toker, Franklin",0-271-00415-0,,1986,Pennsylvania State University Press,,ARCHITECTURE,University Park,"Pennsylvania Pittsburgh; Architecture; Pittsburgh (Pa.); Guidebooks; Buildings, structures, etc. Guidebooks; Pittsburgh Region (Pa.); Tours",,,1986,,,351,
KUW522AC,European paintings,Books,0,0-271-01249-8,,1976,The Museum ; distributed by Pennsylvania State University Press,,CATALOGUE,Toledo : University Park,"Painting; Catalogs; Painting, European; Ohio Toledo; Toledo Museum of Art",,,1976,,,396,
YATB5IFI,The American scene: American painting of the 1930's,Books,"Baigell, Matthew",0-275-46620-5,,1974,Praeger,,AMERICAN,New York,"20th century; Painting, American; Federal Art Project; Painting, Modern; Social realism",American art & artists,,1974,,,214,
IS7QWFVI,Late modern: the visual arts since 1945,Books,"Lucie-Smith, Edward",0-275-49870-0,,1976,Praeger,,MODERN,New York,"20th century; Art, Modern",,2d ed,1976,,,288,
GMATH5JF,Drawing systems,Books,"Dubery, Fred; Willats, John",0-289-70140-6,,1972,Studio Vista; Van Nostrand Reinhold Co,,741.2,"London, New York",Drawing; Technique,A Studio Vista/Van Nostrand Reinhold paperback,,1972,,,96,
6M35NCPS,Drawing systems,Books,"Dubery, Fred; Willats, John",0-289-70140-6,,1972,Studio Vista; Van Nostrand Reinhold Co,,741.2,"London, New York",Drawing; Technique,A Studio Vista/Van Nostrand Reinhold paperback,,1972,,,96,
HZDWIER6,Drawing systems,Books,"Dubery, Fred; Willats, John",0-289-70140-6,,1972,Studio Vista; Van Nostrand Reinhold Co,,GENERAL METHODS/TECHNIQUES,"London, New York",Drawing; Technique,A Studio Vista/Van Nostrand Reinhold paperback,,1972,,,96,
X6QU2MT6,Minimal art: a critical anthology,Books,"Battcock, Gregory",0-289-79593-1,,1969,Studio Vista,,MODERN,London,Minimal art,,,1969,,,448,
S78SY2UB,Egypt before the pharaohs: the prehistoric foundations of Egyptian civilization,Books,"Hoffman, Michael A.",0-292-72073-4,,1991,University of Texas Press,,ANCIENT,Austin,Antiquities; Egypt; Prehistoric peoples,,Rev. and updated,1991,,,409,
5GDN7FW7,The Greeks: from the BBC television series by Christopher Burstall and Kenneth Dover,Books,"Dover, K. J.; Burstall, Christopher",0-292-72723-2,,1981,University of Texas Press,,ANCIENT,Austin,Civilization; Greece; To 146 B.C,,1st University of Texas Press ed,1981,,,146,
8KK49F36,Mesopotamian myths,Books,"McCall, Henrietta",0-292-75130-3,,1990,University of Texas Press,,ANCIENT,Austin,"Mythology, Assyro-Babylonian",The Legendary past,1st University of Texas Press ed,1990,,,80,
SGARRZVQ,Images of America: precisionist painting and modern photography,Books,"Tsujimoto, Karen; San Francisco Museum of Modern Art",0-295-95931-2,,1982,Published for the San Francisco Museum of Modern Art by University of Washington Press,,AMERICAN,Seattle,"In art; Exhibitions; 20th century; Painting, American; United States; Photography; Precisionism; San Francisco Museum of Modern Art",,,1982,,,248,
IKCIK7L2,"The New painting, Impressionism, 1874-1886: an exhibition organized by the Fine Arts Museums of San Francisco with the National Gallery of Art, Washington",Books,0,0-295-96367-0,,1986,"R. Burton ; Distributors for the U.S.A. and Canada, University of Washington Press",,IMPRESSIONISM-M,"Geneva, Switzerland : Seattle","19th century; Exhibitions; France; Impressionism (Art); Painting, French",,,1986,,,507,
X6J4AHYE,What is art for?,Books,"Dissanayake, Ellen",0-295-96612-2,,1988,University of Washington Press,,GENERAL APPRECIATION/CRITICISM,Seattle,Art; Art appreciation; Psychology; Anthropology; Behavior evolution; Human behavior,,,1988,,,249,
JRGHHPER,"Courts and Colonies: The William and Mary Style in Holland, England, and America",Books,"Baarsen, Reinier et al",0-295-96804-4,,1988,Smithsonian Institution,,DECORATIVE ARTS,,0,,,1988,,,,
3MA7M668,"Wild spirits, strong medicine: African art and the wilderness",Books,"Anderson, Martha G.; Kreamer, Christine Mullen; Schildkrout, Enid; Thompson, Jerry L.; Center for Af",0-295-96908-3,,1989,Center for African Art ; University of Washington Press,,AFRICAN,New York : Seattle,"Exhibitions; Art and society; Symbolism in art; Africa, Sub-Saharan; Art, Black; Wilderness (Theology) in art",,,1989,,,152,
9XDWRLYC,Glass: artifact and art,Books,"Morris, William",0-295-96917-2,,1989,Distributed by University of Washington Press,,ARTIST - M,Seattle,"20th century; United States; Catalogs; Glass art; History Catalogs; Morris, William",,,1989,,,88,
WF2X5Y3W,"Paul Soldner: a retrospective, in honor of Paul Soldner",Books,"Soldner, Paul; Levin, Elaine; MacNaughton, Mary Davis; McClain, Mac; Lang Art Gallery",0-295-97159-2,,1991,"Lang Gallery, Scripps College ; University of Washington Press",,Artist S,"Claremont, CA : Seattle","Exhibitions; 20th century; United States; Potters; Ceramic sculpture, American; Soldner, Paul",,,1991,,,127,
R5YPU2AH,Thomas Anshutz: Artist and Teacher,Books,"Griffin, Randall C.",0-295-97413-3,,1994,,,ARTIST-A,,0,,,1994,,,,
GCXVQXWY,Italian panel painting of the early Renaissance in the collection of the Los Angeles Museum of Art,Books,0,0-295-97434-6,,1994,Los Angeles County Museum of Art in association with the University of Washington Press,,RENAISSANCE,Los Angeles,"Exhibitions; Italy; California Los Angeles; Conservation and restoration; Conservation and restoration Exhibitions; Italy Exhibitions; Los Angeles County Museum of Art; Panel painting; Panel painting, Italian; Panel painting, Renaissance",,,1994,,,136,
3Z5ZPRKH,The figure in American sculpture: a question of modernity,Books,"Fort, Ilene Susan; Lenihan, Mary L.; Los Angeles County Museum of Art",0-295-97437-0,,1995,Los Angeles County Museum of Art in association with University of Washington Press,,Sculpture,"Los Angeles, Calif","Exhibitions; 20th century; United States; Modernism (Art); Rodin, Auguste; Influence; Figure sculpture, American",,,1995,,,247,
GWCYU3L4,Why not? the art of Ginny Ruffner,Books,"Miller, Bonnie J.; Miller, Bonnie J.; Ruffner, Ginny; Tacoma Art Museum",0-295-97508-3,,1995,Tacoma Art Museum in association with the University of Washington Press,,ARTIST - R,Seattle,"Criticism and interpretation; Ruffner, Ginny",,,1995,,,112,
73FYT49W,Pilchuck: a glass school,Books,"Oldknow, Tina",0-295-97559-8,,1996,Pilchuck Glass School in association with the University of Washington Press,,Glass,Seattle,History; 20th century; Glass art; Glassware; Pilchuck Glass School; Washington (State),,,1996,,,293,
U5LLZ3F9,The Tenth Street Studio Building: artist-entrepreneurs from the Hudson River School to the American impressionists,Books,"Blaugrund, Annette; National Academy of Design (U.S.); Parrish Art Museum",0-295-97635-7,,1997,Parrish Art Museum ; University of Washington Press,,AMERICAN,"Southampton, N.Y. : [Washington]","19th century; Exhibitions; Art; New York (N.Y.); New York (State) New York; Art, American; Artists' studios; Buildings, structures, etc; Commercial buildings; Marketing History; Tenth Street Studio Building (New York, N.Y.)",,,1997,,,143,
98ZYLEPE,The lost world of the Impressionists,Books,"Bellony-Rewald, Alice",0-297-77173-6,,1976,Weidenfeld and Nicolson,,IMPRESSIONISM-B,London,"19th century; France; Impressionism (Art); In art; Painting, French",,,1976,,,288,
BLMRXSKI,"Body, memory, and architecture",Books,"Bloomer, Kent C.; Moore, Charles Willard",0-300-02139-9,,1977,Yale University Press,,ARCHITECTURE,New Haven,Architecture; Architectural design; Human factors,A Yale paperbound,,1977,,,147,
PCLRV479,"Grant Wood, the regionalist vision",Books,"Corn, Wanda M.; Wood, Grant; Minneapolis Institute of Arts; Whitney Museum of American Art",0-300-03103-3,,1983,Published for the Minneapolis Institute of Arts by Yale University Press,,ARTIST - W,New Haven,"Exhibitions; United States; Regionalism in art; Wood, Grant",,,1983,,,168,
78A6J7UN,The drawings of Josef Albers,Books,"Weber, Nicholas Fox; Albers, Josef",0-300-03168-8,,1984,Yale University Press,,ARTIST-A,New Haven,"Albers, Josef",,,1984,,,61,
M8ME2I9I,"Cubism and its enemies: modern movements and reaction in French art, 1916-1928",Books,"Green, Christopher",0-300-03468-7,,1987,Yale University Press,,MODERN,New Haven,"History; France; 20th century; Modernism (Art); Avant-garde (Aesthetics); Cubism; Art, French",,,1987,,,325,
WX4UFXTB,"Impressionism: art, leisure, and Parisian society",Books,"Herbert, Robert L.",0-300-04262-0,,1988,Yale University Press,,IMPRESSIONISM-H,New Haven,"19th century; Amusements in art; Biography; France Paris; Impressionism (Art); Leisure in art; Painters; Painting, French; Paris (France); Social life and customs",,,1988,,,324,
8S8NBRLL,The science of art: optical themes in western art from Brunelleschi to Seurat,Books,"Kemp, Martin",0-300-04337-6,,1990,Yale University Press,,GENERAL METHODS/TECHNIQUES,New Haven,Technique; Perspective; Painting; Nature (Aesthetics); Color in art; Composition (Art),,,1990,,,375,
